City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Saint George,US,2020-12-31 18:41:42,37.1,-113.58,37.99,47,90,4.7
178,Nishihara,JP,2020-12-31 18:47:30,26.18,127.76,55.4,71,75,9.17
179,Barcelos,PT,2020-12-31 18:47:30,41.54,-8.62,50.0,81,40,13.87
180,Victoria,HK,2020-12-31 18:37:54,22.29,114.16,51.01,34,0,1.99
181,Mezhdurechenskiy,RU,2020-12-31 18:47:31,59.6,65.93,-26.59,85,7,3.53
182,Praya,CV,2020-12-31 18:47:31,14.92,-23.51,78.8,65,0,18.34
183,Oranjemund,NA,2020-12-31 18:42:20,-28.55,16.43,63.45,81,0,21.52
184,Hirara,JP,2020-12-31 18:47:31,24.8,125.28,60.75,74,100,23.38
185,Danielskuil,ZA,2020-12-31 18:41:10,-28.19,23.54,74.59,33,43,7.65
186,Hachinohe,JP,2020-12-31 18:47:32,40.5,141.5,19.4,79,75,6.93
187,Mawlaik,MM,2020-12-31 18:47:32,23.63,94.42,58.95,82,5,1.1
188,Merauke,ID,2020-12-31 18:42:26,-8.47,140.33,77.18,89,100,11.86
189,Ngaoundere,CM,2020-12-31 18:47:33,7.32,13.58,69.8,32,65,4.83
190,Upernavik,GL,2020-12-31 18:41:19,72.79,-56.15,28.36,87,100,4.76
191,Tuktoyaktuk,CA,2020-12-31 18:41:19,69.45,-133.04,-23.8,74,75,6.93
192,Flin Flon,CA,2020-12-31 18:41:55,54.77,-101.86,8.6,78,40,6.93
193,Coihaique,CL,2020-12-31 18:41:42,-45.58,-72.07,60.8,55,75,34.45
194,Vanimo,PG,2020-12-31 18:47:34,-2.67,141.3,77.79,84,100,4.25
195,Olafsvik,IS,2020-12-31 18:47:34,64.89,-23.71,32.05,91,56,10.09
196,Lewistown,US,2020-12-31 18:47:34,40.6,-77.57,39.0,69,75,5.82
197,Umm Lajj,SA,2020-12-31 18:41:21,25.02,37.27,73.71,59,0,5.59
198,Bashtanka,UA,2020-12-31 18:47:34,47.41,32.44,47.01,83,100,12.12
199,Portland,US,2020-12-31 18:41:02,45.52,-122.68,51.01,81,90,16.11
200,Benjamin Constant,BR,2020-12-31 18:47:35,-4.38,-70.03,91.4,58,20,3.36
201,Mackenzie,CA,2020-12-31 18:47:35,55.3,-123.17,23.0,92,90,3.36
202,Sambava,MG,2020-12-31 18:47:35,-14.27,50.17,77.41,79,0,12.39
203,Ribeira Grande,PT,2020-12-31 18:40:59,38.52,-28.7,60.8,82,40,17.22
204,Richards Bay,ZA,2020-12-31 18:47:36,-28.78,32.04,79.3,85,0,1.61
205,Sinnamary,GF,2020-12-31 18:47:36,5.38,-52.95,81.14,79,91,7.61
206,Kavaratti,IN,2020-12-31 18:42:20,10.57,72.64,82.74,72,0,4.79
207,Butaritari,KI,2020-12-31 18:40:27,3.07,172.79,80.62,78,100,15.57
208,Nabari,JP,2020-12-31 18:47:37,34.62,136.08,36.0,68,15,8.99
209,Sitka,US,2020-12-31 18:42:13,57.05,-135.33,33.8,86,20,4.7
210,Khatanga,RU,2020-12-31 18:40:44,71.97,102.5,-30.39,84,95,10.98
211,Pevek,RU,2020-12-31 18:41:03,69.7,170.31,-21.06,87,100,8.61
212,Oktyabrskoye,RU,2020-12-31 18:47:38,43.06,44.74,24.8,100,93,2.24
213,Emba,KZ,2020-12-31 18:47:38,48.83,58.14,21.7,98,99,6.67
214,Isla Mujeres,MX,2020-12-31 18:47:38,21.23,-86.73,82.4,78,75,24.16
215,Gidole,ET,2020-12-31 18:47:38,5.65,37.37,60.71,91,49,1.79
216,Zhigansk,RU,2020-12-31 18:41:35,66.77,123.37,-22.5,85,100,19.33
217,Harer,ET,2020-12-31 18:47:39,9.31,42.13,61.3,54,0,4.07
218,Oussouye,SN,2020-12-31 18:40:34,12.48,-16.55,93.2,69,0,4.7
219,Batemans Bay,AU,2020-12-31 18:47:39,-35.72,150.18,64.99,97,100,1.01
220,Turukhansk,RU,2020-12-31 18:47:39,65.82,87.98,-15.59,81,2,6.22
221,Libertador General San Martin,AR,2020-12-31 18:47:40,-23.81,-64.79,70.0,86,100,1.99
222,Plast,RU,2020-12-31 18:47:40,54.37,60.81,-5.49,92,61,2.84
223,Bowen,AU,2020-12-31 18:47:40,-20.02,148.23,75.2,88,75,9.17
224,Ignatovka,RU,2020-12-31 18:47:40,53.95,47.65,10.53,95,100,6.85
225,Hornostayivka,UA,2020-12-31 18:47:41,47.01,33.73,44.67,82,100,13.96
226,Isugod,PH,2020-12-31 18:47:41,9.34,118.12,78.31,80,100,3.78
227,Fairbanks,US,2020-12-31 18:39:33,64.84,-147.72,3.0,76,20,1.74
228,Chaves,US,2020-12-31 18:47:42,33.38,-104.45,39.99,32,1,5.82
229,Grants Pass,US,2020-12-31 18:43:55,42.44,-123.33,43.0,100,90,1.1
230,Katherine,AU,2020-12-31 18:43:50,-14.47,132.27,77.0,94,32,3.36
231,Yatou,CN,2020-12-31 18:47:42,37.15,122.38,18.12,87,0,10.98
232,Vilcun,CL,2020-12-31 18:47:43,-38.65,-72.23,77.0,38,0,13.87
233,Klaksvik,FO,2020-12-31 18:40:42,62.23,-6.59,35.6,83,100,23.04
234,Te Anau,NZ,2020-12-31 18:41:58,-45.42,167.72,52.3,92,100,4.88
235,Maicao,CO,2020-12-31 18:47:43,11.38,-72.24,82.42,66,85,12.88
236,Najran,SA,2020-12-31 18:47:44,17.49,44.13,64.4,45,0,4.7
237,Cranbrook,CA,2020-12-31 18:47:44,49.5,-115.77,23.0,92,75,3.36
238,Caruray,PH,2020-12-31 18:47:44,10.31,119.01,78.8,88,90,4.7
239,Yagodnoye,RU,2020-12-31 18:47:45,62.55,149.67,-26.99,82,100,4.09
240,Chokurdakh,RU,2020-12-31 18:40:31,70.63,147.92,-11.45,90,100,10.04
241,Aasiaat,GL,2020-12-31 18:47:45,68.71,-52.87,33.42,91,99,35.34
242,Imbituba,BR,2020-12-31 18:41:24,-28.24,-48.67,82.4,69,40,19.46
243,Poum,NC,2020-12-31 18:41:15,-20.23,164.02,77.95,84,100,7.14
244,Lebu,CL,2020-12-31 18:40:08,-37.62,-73.65,61.12,65,100,22.57
